stock_id,feature_date,target,max_return,max_return_date,trading_days_count
1437,2024-03-31,1,0.0859375,2024-05-03,22
1438,2024-03-31,1,0.21875,2024-04-22,22
1439,2024-03-31,1,0.10714285714285714,2024-05-03,22
1440,2024-03-31,1,0.3675496688741721,2024-04-29,22
1441,2024-03-31,0,0.007407407407407381,2024-04-10,22
1442,2024-03-31,1,0.3888888888888889,2024-05-03,22
1443,2024-03-31,1,0.2235915492957747,2024-04-19,22
1444,2024-03-31,1,0.07574094401756326,2024-05-02,22
1445,2024-03-31,1,0.1395881006864987,2024-04-30,22
1446,2024-03-31,1,0.4148148148148148,2024-05-03,22
1447,2024-03-31,0,0.039850560398505645,2024-05-03,22
1449,2024-03-31,1,0.06596306068601583,2024-04-09,22
1451,2024-03-31,1,0.10362694300518134,2024-05-03,22
1452,2024-03-31,1,0.08588957055214715,2024-05-03,22
1453,2024-03-31,1,0.8366666666666667,2024-05-03,22
1454,2024-03-31,0,0.04430379746835438,2024-04-08,22
1455,2024-03-31,1,0.09722222222222224,2024-04-29,22
1456,2024-03-31,1,0.2047244094488188,2024-05-02,22
1457,2024-03-31,1,0.3233082706766917,2024-04-30,22
1459,2024-03-31,1,0.2947799385875129,2024-05-02,22
1460,2024-03-31,0,0.034813925570227985,2024-04-03,22
1463,2024-03-31,1,0.060273972602739805,2024-04-09,22
1464,2024-03-31,1,0.054687499999999944,2024-04-29,22
1465,2024-03-31,0,0.042904290429042924,2024-05-02,22
1466,2024-03-31,0,0.0,2024-04-01,22
1467,2024-03-31,1,0.14611872146118735,2024-05-03,22
1468,2024-03-31,0,0.01818181818181818,2024-04-01,22
1470,2024-03-31,0,0.02625298329355612,2024-04-24,21
1471,2024-03-31,0,0.021739130434782473,2024-04-01,22
1472,2024-03-31,1,0.17802503477051454,2024-04-26,22
1473,2024-03-31,1,0.15072933549432735,2024-04-29,22
1474,2024-03-31,1,0.16194331983805668,2024-04-29,22
1475,2024-03-31,1,0.1462450592885375,2024-05-03,22
1476,2024-03-31,0,0.009041591320072333,2024-04-01,22
1477,2024-03-31,1,0.08613728129205922,2024-04-29,22
1480,2024-03-31,0,0.041841004184100423,2024-04-25,22
1503,2024-03-31,1,0.22602739726027396,2024-04-10,22
1504,2024-03-31,1,0.08950086058519786,2024-04-19,22
1506,2024-03-31,1,0.06521739130434764,2024-04-12,22
1512,2024-03-31,0,0.042654028436018884,2024-04-23,22
1513,2024-03-31,1,0.23119777158774374,2024-04-15,22
1514,2024-03-31,1,0.6727272727272727,2024-04-15,22
1515,2024-03-31,1,0.05231388329979868,2024-04-10,22
1516,2024-03-31,1,0.2948328267477205,2024-04-30,22
1517,2024-03-31,0,0.04643962848297214,2024-04-11,22
1519,2024-03-31,1,0.4465592972181552,2024-04-15,22
1521,2024-03-31,0,0.008739076154806529,2024-04-12,22
1522,2024-03-31,1,0.1388888888888889,2024-04-02,22
1524,2024-03-31,1,0.07448275862068973,2024-04-08,22
1525,2024-03-31,0,0.0,2024-04-01,22
1526,2024-03-31,0,0.04424778761061947,2024-04-11,22
1527,2024-03-31,0,0.04681872749099647,2024-04-10,22
1528,2024-03-31,1,0.06274509803921574,2024-04-09,22
