period,test_date,stock_id,model_name,predicted_value,actual_value,error_percentage,error_absolute
1,2012-12,2385,Prophet,1907272847.3775158,3586626000.0,46.82264480942491,1679353152.6224842
2,2013-01,2385,Prophet,2596088373.756127,5873901000.0,55.80299406210409,3277812626.243873
3,2013-02,2385,Prophet,4089811629.770335,4721884000.0,13.386020711852828,632072370.2296648
4,2013-03,2385,Prophet,5487930869.394059,6597561000.0,16.81879304497436,1109630130.6059408
5,2013-04,2385,Prophet,7008195691.940132,5754994000.0,21.775899191904145,1253201691.9401321
6,2013-05,2385,Prophet,5473472763.921561,5941991000.0,7.884869500449239,468518236.07843876
7,2013-06,2385,Prophet,5404032951.945535,6131932000.0,11.870631442985104,727899048.0544653
8,2013-07,2385,Prophet,6547586886.042964,5700106000.0,14.867809230968055,847480886.042964
9,2013-08,2385,Prophet,5960005361.403139,6083585000.0,2.031362076750155,123579638.59686089
10,2013-09,2385,Prophet,6913589740.627511,6682871000.0,3.452389558731734,230718740.62751102
11,2013-10,2385,Prophet,6712247266.408046,6512235000.0,3.0713306016758573,200012266.40804577
12,2013-11,2385,Prophet,7219858689.388716,7414867000.0,2.629963701456604,195008310.61128426
13,2013-12,2385,Prophet,8746709403.501795,7112682000.0,22.97343538628319,1634027403.5017948
14,2014-01,2385,Prophet,7840426104.700977,5648668000.0,38.80132634279404,2191758104.7009773
15,2014-02,2385,Prophet,4974015730.262829,4932419000.0,0.843333266351233,41596730.26282883
16,2014-03,2385,Prophet,6576657337.195359,6374006000.0,3.179340232741532,202651337.19535923
17,2014-04,2385,Prophet,5298049540.001785,6219679000.0,14.817958611661709,921629459.9982147
18,2014-05,2385,Prophet,5905013577.161407,6343006000.0,6.905123892971132,437992422.8385925
19,2014-06,2385,Prophet,5924754510.556249,6415313000.0,7.646680519621589,490558489.44375134
20,2014-07,2385,Prophet,5664210071.961297,6050206000.0,6.379880751807508,385995928.03870296
21,2014-08,2385,Prophet,6069541751.394506,6078635000.0,0.14959359470495506,9093248.605493546
22,2014-09,2385,Prophet,7395098406.514104,7866553000.0,5.993153462334725,471454593.4858961
23,2014-10,2385,Prophet,6921761643.947831,7680950000.0,9.88404241730735,759188356.0521688
24,2014-11,2385,Prophet,8611496762.243128,8123197000.0,6.0111771540580365,488299762.2431278
25,2014-12,2385,Prophet,8159902772.663191,8376832000.0,2.5896332567826255,216929227.33680916
26,2015-01,2385,Prophet,5589062167.907922,6668599000.0,16.188360285152523,1079536832.0920782
27,2015-02,2385,Prophet,5848616582.704639,4898817000.0,19.38834585379775,949799582.7046394
28,2015-03,2385,Prophet,7786653204.851375,6438739000.0,20.93444391598067,1347914204.8513746
29,2015-04,2385,Prophet,7394023239.800808,6253401000.0,18.240030341902077,1140622239.800808
30,2015-05,2385,Prophet,7009343256.119253,6806863000.0,2.9746486174211695,202480256.11925316
31,2015-06,2385,Prophet,6896968794.082286,7198514000.0,4.18899242145968,301545205.9177141
32,2015-07,2385,Prophet,6191490616.907748,6723583000.0,7.9138218877085595,532092383.0922518
33,2015-08,2385,Prophet,5958444373.103093,6793255000.0,12.288816287580943,834810626.8969069
34,2015-09,2385,Prophet,8381802428.136128,7517760000.0,11.493349456967614,864042428.1361284
35,2015-10,2385,Prophet,7990806551.899401,7036601000.0,13.56060336374623,954205551.8994007
36,2015-11,2385,Prophet,9101922092.43867,7360885000.0,23.65255118696555,1741037092.4386692
37,2015-12,2385,Prophet,9250285830.86511,6976597000.0,32.59022745423177,2273688830.8651104
38,2016-01,2385,Prophet,5931538603.60922,5600811000.0,5.904994894653998,330727603.60921955
39,2016-02,2385,Prophet,4863103891.813024,4592953000.0,5.8818562221956885,270150891.81302357
40,2016-03,2385,Prophet,6310691212.880725,6431429000.0,1.8773088705367826,120737787.1192751
41,2016-04,2385,Prophet,5725313667.362301,5287804000.0,8.273938810180953,437509667.3623009
42,2016-05,2385,Prophet,5786212947.911183,6051631000.0,4.385892862417036,265418052.08881664
43,2016-06,2385,Prophet,5996811772.952022,6921863000.0,13.364194394601256,925051227.0479784
44,2016-07,2385,Prophet,5959222188.920571,6219894000.0,4.190936550999562,260671811.07942867
45,2016-08,2385,Prophet,6162095697.644727,7055487000.0,12.662361965308321,893391302.3552732
46,2016-09,2385,Prophet,7150707063.858178,7699548000.0,7.128222801414082,548840936.1418219
47,2016-10,2385,Prophet,6622971454.575463,6754613000.0,1.948913215672559,131641545.4245367
48,2016-11,2385,Prophet,6749571191.825383,7216573000.0,6.471240686883051,467001808.1746168
49,2016-12,2385,Prophet,6626120100.110046,7180789000.0,7.724344774508116,554668899.8899536
50,2017-01,2385,Prophet,6832208828.820733,5143902000.0,32.8215200993474,1688306828.820733
51,2017-02,2385,Prophet,5186716958.698482,5203731000.0,0.326958509221911,17014041.30151844
52,2017-03,2385,Prophet,6283133013.103116,6594380000.0,4.719882489284572,311246986.89688396
53,2017-04,2385,Prophet,5590352494.827552,5405917000.0,3.4117337507688674,184435494.82755184
54,2017-05,2385,Prophet,6018414022.774128,6024573000.0,0.10223093364246795,6158977.22587204
55,2017-06,2385,Prophet,6432253075.580138,7239136000.0,11.14612191869115,806882924.4198618
56,2017-07,2385,Prophet,6054215475.527834,6159685000.0,1.7122551635703136,105469524.47216606
57,2017-08,2385,Prophet,6530864583.391237,7144632000.0,8.590609237939235,613767416.6087627
58,2017-09,2385,Prophet,7507851798.469116,8204632000.0,8.49252229144322,696780201.5308838
59,2017-10,2385,Prophet,7067605982.820854,7258777000.0,2.6336532611367702,191171017.1791458
60,2017-11,2385,Prophet,7539652037.35254,7168342000.0,5.17985940615752,371310037.35254
61,2017-12,2385,Prophet,7365305193.479966,6608609000.0,11.450158323483295,756696193.4799662
62,2018-01,2385,Prophet,6093464307.537715,6296190000.0,3.2198153559896547,202725692.46228504
63,2018-02,2385,Prophet,5174333298.306779,4645242000.0,11.389961993514632,529091298.3067789
64,2018-03,2385,Prophet,6642817945.205283,6632412000.0,0.15689533770343525,10405945.205283165
65,2018-04,2385,Prophet,6050009011.615663,6429137000.0,5.897027678587926,379127988.3843374
66,2018-05,2385,Prophet,6472788030.892595,7380200000.0,12.295221933110277,907411969.1074047
67,2018-06,2385,Prophet,6992148684.037953,7452135000.0,6.172544055657159,459986315.9620466
68,2018-07,2385,Prophet,6507217240.919819,7721252000.0,15.72328890548037,1214034759.0801811
69,2018-08,2385,Prophet,7023588480.937802,8669740000.0,18.98732279240436,1646151519.0621977
70,2018-09,2385,Prophet,8436342422.587008,8584290000.0,1.7234690045768668,147947577.41299152
71,2018-10,2385,Prophet,7998111991.34116,8239915000.0,2.9345328035403297,241803008.65884018
72,2018-11,2385,Prophet,8562171443.237794,8165418000.0,4.8589483506881574,396753443.2377939
73,2018-12,2385,Prophet,8384827094.034891,7044474000.0,19.02701456538687,1340353094.0348911
74,2019-01,2385,Prophet,6848710190.62031,7128216000.0,3.9211186835484524,279505809.3796902
75,2019-02,2385,Prophet,5542594531.911112,4954893000.0,11.86103376825921,587701531.9111118
76,2019-03,2385,Prophet,7592702737.056445,7094332000.0,7.024914214001334,498370737.0564451
77,2019-04,2385,Prophet,7277166290.198002,6751644000.0,7.783619666528654,525522290.19800186
78,2019-05,2385,Prophet,7750505280.972808,7990153000.0,2.999288236748309,239647719.02719212
79,2019-06,2385,Prophet,7771521214.654314,7809262000.0,0.4832823555629963,37740785.34568596
80,2019-07,2385,Prophet,7544779654.102165,8009584000.0,5.803102207278615,464804345.8978348
81,2019-08,2385,Prophet,7824858233.841808,9042891000.0,13.469506224925102,1218032766.1581917
82,2019-09,2385,Prophet,8935098621.154428,9133066000.0,2.16758949125706,197967378.84557152
83,2019-10,2385,Prophet,8815765609.066223,9280205000.0,5.004624261358201,464439390.93377686
84,2019-11,2385,Prophet,9336065634.879025,8260309000.0,13.023200886056738,1075756634.8790245
85,2019-12,2385,Prophet,8829218909.140095,7097768000.0,24.394301266822115,1731450909.1400948
86,2020-01,2385,Prophet,7520212117.619076,6228700000.0,20.73485827891977,1291512117.6190758
87,2020-02,2385,Prophet,5664262591.073432,4280190000.0,32.33670914313224,1384072591.073432
88,2020-03,2385,Prophet,7742541395.990896,7601329000.0,1.8577329831519755,141212395.99089622
89,2020-04,2385,Prophet,6718333777.032738,8891424000.0,24.44029463635141,2173090222.9672623
90,2020-05,2385,Prophet,7561129392.354336,8190663000.0,7.6859908367083865,629533607.6456642
91,2020-06,2385,Prophet,8911175013.115463,8014033000.0,11.194638368914418,897142013.1154633
92,2020-07,2385,Prophet,8087769830.057258,8194616000.0,1.303858166663848,106846169.94274235
93,2020-08,2385,Prophet,9053569987.181961,8569027000.0,5.654585837831542,484542987.18196106
94,2020-09,2385,Prophet,9937204448.125,9657558000.0,2.8956227663866994,279646448.125
95,2020-10,2385,Prophet,8621830262.243317,8723786000.0,1.168709752356183,101955737.75668335
96,2020-11,2385,Prophet,8934813639.173042,8383006000.0,6.582455495952673,551807639.1730423
97,2020-12,2385,Prophet,8586207819.246962,8347896000.0,2.8547530928387417,238311819.2469616
98,2021-01,2385,Prophet,7578582322.322976,9211314000.0,17.725285205531197,1632731677.677024
99,2021-02,2385,Prophet,6330750075.780352,6832174000.0,7.339156236648077,501423924.21964836
100,2021-03,2385,Prophet,8303379440.886031,9093560000.0,8.689452305961238,790180559.1139688
101,2021-04,2385,Prophet,8125547105.668171,8004716000.0,1.509498971208609,120831105.66817093
102,2021-05,2385,Prophet,8598313332.888918,8421571000.0,2.0986860158148395,176742332.88891792
103,2021-06,2385,Prophet,9076080192.112999,8866488000.0,2.363869348416182,209592192.11299896
104,2021-07,2385,Prophet,8708999741.367037,8895088000.0,2.092033925161428,186088258.63296318
105,2021-08,2385,Prophet,9447248446.741083,8599800000.0,9.854280875614354,847448446.7410831
106,2021-09,2385,Prophet,10311603700.593132,9854024000.0,4.643582160883026,457579700.593132
