period,test_date,stock_id,model_name,predicted_value,actual_value,error_percentage,error_absolute
1,2011-12,2385,XGBoost,1680086272.0,1779774000.0,5.601145313955592,99687728.0
2,2012-01,2385,XGBoost,1698223872.0,1248014000.0,36.07410429690693,450209872.0
3,2012-02,2385,XGBoost,1556565248.0,1361917000.0,14.292225443988144,194648248.0
4,2012-03,2385,XGBoost,1523682560.0,1455272000.0,4.700877911483214,68410560.0
5,2012-04,2385,XGBoost,1533410304.0,1519363000.0,0.9245521972036966,14047304.0
6,2012-05,2385,XGBoost,1482109440.0,1635163000.0,9.360140854459157,153053560.0
7,2012-06,2385,XGBoost,1396819840.0,1632237000.0,14.422976565290458,235417160.0
8,2012-07,2385,XGBoost,1422023424.0,1798759000.0,20.94419408047437,376735576.0
9,2012-08,2385,XGBoost,1495339392.0,1987380000.0,24.758254988980465,492040608.0
10,2012-09,2385,XGBoost,1669091712.0,2121336000.0,21.318842842435146,452244288.0
11,2012-10,2385,XGBoost,2124433664.0,2408601000.0,11.798024496377773,284167336.0
12,2012-11,2385,XGBoost,1819808896.0,2587932000.0,29.680961632685865,768123104.0
13,2012-12,2385,XGBoost,1880295040.0,3586626000.0,47.57482268851004,1706330960.0
14,2013-01,2385,XGBoost,1885705216.0,5873901000.0,67.89688460871234,3988195784.0
15,2013-02,2385,XGBoost,1466307584.0,4721884000.0,68.94655641688784,3255576416.0
16,2013-03,2385,XGBoost,1240001920.0,6597561000.0,81.20514656855768,5357559080.0
17,2013-04,2385,XGBoost,1500948736.0,5754994000.0,73.91919546744965,4254045264.0
18,2013-05,2385,XGBoost,1520259840.0,5941991000.0,74.4149757211009,4421731160.0
19,2013-06,2385,XGBoost,1587994880.0,6131932000.0,74.10286219742815,4543937120.0
20,2013-07,2385,XGBoost,1580758144.0,5700106000.0,72.26791670189992,4119347856.0
21,2013-08,2385,XGBoost,1597614336.0,6083585000.0,73.73893294825338,4485970664.0
22,2013-09,2385,XGBoost,1754445184.0,6682871000.0,73.74713376930364,4928425816.0
23,2013-10,2385,XGBoost,1804047232.0,6512235000.0,72.29757169389617,4708187768.0
24,2013-11,2385,XGBoost,1757174272.0,7414867000.0,76.30201226805552,5657692728.0
25,2013-12,2385,XGBoost,1937201920.0,7112682000.0,72.76411457731416,5175480080.0
26,2014-01,2385,XGBoost,2188594176.0,5648668000.0,61.25468560021584,3460073824.0
27,2014-02,2385,XGBoost,3350617856.0,4932419000.0,32.06948039085893,1581801144.0
28,2014-03,2385,XGBoost,5308495360.0,6374006000.0,16.716498854880275,1065510640.0
29,2014-04,2385,XGBoost,5411705344.0,6219679000.0,12.990600576010433,807973656.0
30,2014-05,2385,XGBoost,5107443712.0,6343006000.0,19.47912847630918,1235562288.0
31,2014-06,2385,XGBoost,5975142912.0,6415313000.0,6.861241033757823,440170088.0
32,2014-07,2385,XGBoost,5651207680.0,6050206000.0,6.594789003878546,398998320.0
33,2014-08,2385,XGBoost,5846396416.0,6078635000.0,3.820571296022873,232238584.0
34,2014-09,2385,XGBoost,5857670144.0,7866553000.0,25.53701546280817,2008882856.0
35,2014-10,2385,XGBoost,5878036992.0,7680950000.0,23.472526289065808,1802913008.0
36,2014-11,2385,XGBoost,5858443264.0,8123197000.0,27.880078939363408,2264753736.0
37,2014-12,2385,XGBoost,6307565568.0,8376832000.0,24.7022553633641,2069266432.0
38,2015-01,2385,XGBoost,6879564800.0,6668599000.0,3.163570039224131,210965800.0
39,2015-02,2385,XGBoost,7023248896.0,4898817000.0,43.36622282481669,2124431896.0
40,2015-03,2385,XGBoost,5357338624.0,6438739000.0,16.795219933592588,1081400376.0
41,2015-04,2385,XGBoost,6192770048.0,6253401000.0,0.9695676320773289,60630952.0
