price_ma_5,price_vs_ma_5,price_ma_10,price_vs_ma_10,price_ma_20,price_vs_ma_20,volume_ma_5,volume_vs_ma_5,volume_ma_10,volume_vs_ma_10,volume_ma_20,volume_vs_ma_20,price_volatility,rsi,momentum_5,momentum_10,momentum_20,stock_id_numeric,market_type,month,quarter,is_quarter_end,stock_id,feature_date,revenue_mom_latest,revenue_stability_cv
12.548,0.020879821485495734,12.299000000000001,0.04154809334092196,11.863499999999998,0.07978252623593393,4000.0,0.25,3600.0,0.2777777777777778,3350.0,0.29850746268656714,0.423011818723529,80.05952380952382,0.06130903065451543,0.07556675062972285,0.08375634517766506,20001,2,6,2,1,020001,2024-06-30,,
11.128,-0.0007189072609634162,11.15,-0.0026905829596413577,11.111,0.0008100081000808716,3200.0,0.625,2200.0,0.9090909090909091,1800.0,1.1111111111111112,0.17328045681155685,57.14285714285714,0.0063348416289590315,-0.00536672629695889,0.009990917347865613,20002,2,6,2,1,020002,2024-06-30,,
41.646,-0.009988954521442729,38.233000000000004,0.07838778018988812,33.2645,0.23945948383411741,3400.0,1.1764705882352942,12100.0,0.3305785123966942,6550.0,0.6106870229007634,0.963700244209915,81.08235294117645,0.039848675914249565,0.40668713749573526,0.3821656050955413,20007,2,6,2,1,020007,2024-06-30,,
,,,,,,,,,,,,,,,,,20010,2,6,2,1,020010,2024-06-30,,
10.714000000000002,0.004293447825275115,10.535,0.02135738016136684,10.413499999999999,0.033274115331060714,3200.0,0.3125,8100.0,0.12345679012345678,7250.0,0.13793103448275862,0.1865059733815028,67.62589928057552,0.0237868696479544,0.04364694471386987,0.06324110671936767,20011,2,6,2,1,020011,2024-06-30,,
10.214,0.004503622478950399,10.084999999999999,0.017352503718393725,9.918000000000001,0.03448275862068952,3200.0,3.125,7900.0,1.2658227848101267,8150.0,1.2269938650306749,0.23967929734791066,77.85714285714283,0.007858546168958647,0.07210031347962387,0.003913894324853118,20012,2,6,2,1,020012,2024-06-30,,
14.941999999999998,-0.006826395395529283,14.748000000000001,0.006238133984268968,14.341999999999999,0.03472319062892213,1000.0,1.0,1000.0,1.0,1200.0,0.8333333333333334,0.3002958879840306,64.11042944785274,-0.0013458950201884479,0.029126213592232997,0.0738060781476122,20013,2,6,2,1,020013,2024-06-30,,
6.384,-0.013157894736842186,6.462000000000001,-0.02506963788300848,6.3725000000000005,-0.011377010592389276,3400.0,1.1764705882352942,4800.0,0.8333333333333334,9900.0,0.40404040404040403,0.8562787300809854,42.295081967213115,-0.03522205206738138,0.01449275362318847,0.009615384615384581,20014,2,6,2,1,020014,2024-06-30,,
,,,,,,,,,,,,,,,,,20015,2,6,2,1,020015,2024-06-30,,
27.294,0.08595295669377885,26.608999999999998,0.11390882784020454,25.44,0.16509433962264147,1800.0,0.5555555555555556,3600.0,0.2777777777777778,2700.0,0.37037037037037035,0.44431718942218856,77.81774580335733,0.14883720930232558,0.15917090340242468,0.2759362892811019,20016,2,6,2,1,020016,2024-06-30,,
25.278,0.001265922936941215,25.098,0.0084468881982628,24.979,0.01325113094999798,4800.0,0.625,4500.0,0.6666666666666666,9350.0,0.32085561497326204,0.14120544284757702,59.922178988326806,0.007964954201513219,0.03814602132895817,0.003568596352101494,20018,2,6,2,1,020018,2024-06-30,,
11.782,0.0074690205398064155,11.801,0.005846962121854001,11.3765,0.04337889509075719,79200.0,0.7449494949494949,72800.0,0.8104395604395604,66500.0,0.8872180451127819,0.251727867070346,73.82198952879574,-0.01575456053068003,0.04122807017543839,0.10521415270018619,20020,2,6,2,1,020020,2024-06-30,,
7.640000000000001,-0.0026178010471204793,7.584999999999999,0.004614370468029141,7.5375,0.010945273631840858,2100200.0,1.6779354347205029,1248300.0,2.823039333493551,878350.0,4.012068082199579,0.13353455453552762,54.0540540540541,0.007936507936507908,0.0013140604467805073,0.029729729729729648,20022,2,6,2,1,020022,2024-06-30,,
6.642,0.00873230954531765,6.677,0.0034446607757976,6.475999999999999,0.03458925262507738,22800.0,0.8771929824561403,38700.0,0.5167958656330749,52950.0,0.3777148253068933,0.23142853158042162,66.66666666666669,-0.0029761904761904656,0.019786910197869156,0.11111111111111116,20023,2,6,2,1,020023,2024-06-30,,
5.9719999999999995,-0.005358338914936226,5.8950000000000005,0.0076335877862595295,5.8870000000000005,0.009002887718702213,10200.0,0.09803921568627451,11100.0,0.09009009009009009,16150.0,0.06191950464396285,0.3201897205998514,47.96747967479675,0.0,0.03484320557491283,0.06451612903225823,20024,2,6,2,1,020024,2024-06-30,,
11.364,0.006687785990848181,11.343,0.008551529577713086,11.0205,0.038065423528877936,26800.0,2.537313432835821,35000.0,1.9428571428571428,38250.0,1.7777777777777777,0.25426661863423367,71.94570135746606,-0.012089810017271163,0.02508960573476693,0.07518796992481191,20025,2,6,2,1,020025,2024-06-30,,
6.106,0.04323616115296434,5.757,0.1064790689595276,5.682,0.12108412530799009,9800.0,0.30612244897959184,9600.0,0.3125,8800.0,0.3409090909090909,0.5454152936077097,66.14583333333334,0.17744916820702406,0.18843283582089554,0.1688073394495413,20026,2,6,2,1,020026,2024-06-30,,
6.196000000000001,0.01355713363460291,6.219,0.00980865090850618,6.0365,0.04033794417294791,134800.0,1.817507418397626,150000.0,1.6333333333333333,116600.0,2.1012006861063464,0.20279806480037338,69.6428571428572,0.0064102564102563875,0.021138211382113692,0.10563380281690149,20027,2,6,2,1,020027,2024-06-30,,
