stock_id,date,price_vs_ma_5,price_vs_ma_20,price_vs_ma_60,price_volatility,rsi_14,volume_vs_ma_20,momentum_5,momentum_10,momentum_20,revenue_yoy_growth,revenue_mom_growth,latest_revenue,revenue_stability_cv,consecutive_growth_months,avg_revenue_growth_12m,stock_id_numeric
1101,2024-06-30,-0.0034965034965034336,0.01664684898929858,0.03247880449822671,0.007662704860252619,68.2539682539684,0.5559105128251778,-0.01298701298701288,0.00588235294117645,0.041095890410958846,54.93845414116364,-1.4482612034565545,13659543000.0,1.8034325330744116,4.0,1.4307786993511347,1101
1102,2024-06-30,-0.0018210789893011725,0.03127939793038581,0.018622478609315207,0.013367664822504174,73.7864077669903,-0.20040040038271978,-0.015712682379348974,0.049043062200957,0.02453271028037385,2.50882534143391,5.864494625886461,6838497000.0,2.7268364935970792,1.0,-11.424313350471417,1102
1103,2024-06-30,-0.0027247956403270157,-0.0031322347814243257,0.008357057581045213,0.01651496849231775,45.45454545454554,-0.34204861534830644,-0.005434782608695565,0.0,0.022346368715083997,-7.540588602366963,5.124408919219301,256328000.0,2.281053561066228,0.0,15.660148281993251,1103
1104,2024-06-30,0.012784090909090828,0.0426263069386561,0.05514996053670074,0.0069726503958860465,85.99999999999994,0.8734976029070296,0.025899280575539585,0.059435364041604766,0.07057057057057059,9.60078641253891,-10.878382379063295,662277000.0,2.374875351345901,4.0,7.331682960086643,1104
1108,2024-06-30,-0.0029761904761904656,-0.0051967334818113775,-0.0030256435692673778,0.004031028719491949,39.99999999999999,-0.2890721463142317,-0.008875739644970349,-0.008875739644970349,-0.0029761904761904656,-19.934034824736262,-18.602153252255498,354661000.0,11.103277747828693,0.0,10.699022644601351,1108
1109,2024-06-30,0.005615109749872449,0.012202954399486154,0.00301243158386022,0.005705544243189604,63.63636363636378,-0.062068344872041714,0.007672634271099765,0.01025641025641022,0.01285347043701801,-19.217874066961933,-19.250386996904027,417314000.0,2.678262905308063,0.0,-8.188224718759995,1109
1110,2024-06-30,-0.011246485473289547,-0.04470854555744186,0.035921773995581274,0.033502671967204876,21.621621621621614,-0.6525481647145723,0.011990407673860837,-0.029885057471264354,0.06030150753768848,6.079498598053769,-5.684412226203336,192948000.0,2.6906218804140156,1.0,7.6554406173069145,1110
1201,2024-06-30,-0.0026595744680851796,-0.004512874966817182,-0.0034105505603047037,0.008669642923628158,47.05882352941169,-0.5343949740124309,-0.007936507936507908,-0.0026595744680851796,0.013513513513513598,8.328819151022595,-5.6825322346191705,1949792000.0,0.4254837943841319,12.0,10.811360412095075,1201
1203,2024-06-30,0.0011485451761104049,0.031812577065351455,0.11853713308025449,0.011161103104912671,67.80821917808213,-0.5593811229996226,0.005769230769230749,0.05231388329979869,0.03976143141153088,8.405634775432178,0.5489237306504873,514904000.0,9.457874313022197,1.0,-0.7488926393179619,1203
1210,2024-06-30,0.005625879043600346,0.0033327486405894113,0.00037893141341416303,0.005572506691775983,52.000000000000036,-0.08328262873730119,0.008818342151675429,0.0035087719298245723,0.012389380530973604,-7.840566626693795,-4.6984215671282445,8207756000.0,0.819704636653172,0.0,-6.757939835818273,1210
1213,2024-06-30,0.0008147745790332284,0.019928037641848695,0.03262265604931924,0.0061786787646585396,82.35294117647048,-0.3203578665597939,0.009589041095890538,0.03076923076923066,0.057388809182209455,0.0,-25.197857055887006,12287000.0,1.2154459365564996,0.0,-66.7203601143158,1213
1215,2024-06-30,-0.027649769585253448,-0.030998851894374235,-0.01539897340177332,0.023935974073131885,44.680851063829785,0.09902671424077925,-0.06222222222222218,-0.0365296803652968,0.0,-11.638558107517149,-9.577561446011224,2139781000.0,0.935729554502905,0.0,-4.697341282894757,1215
1216,2024-06-30,-0.013349514563106846,0.002960769800147922,0.03468024180719054,0.012620871900368855,55.0,-0.09752971688414147,-0.0024539877300613355,-0.004895960832313362,0.05584415584415581,17.044949769910694,0.34786680953212656,54983416000.0,0.2179214431770711,12.0,17.505551423061508,1216
1217,2024-06-30,0.007843137254901933,0.04365482233502527,0.05935696619950526,0.008652179632955484,89.47368421052634,0.28469905751495594,0.04048582995951411,0.057613168724279795,0.0708333333333333,-3.7614359941516287,-9.173243918663813,404150000.0,4.831284854158152,0.0,0.6635347829033931,1217
1218,2024-06-30,-0.005847953216374213,-0.016466399643969676,0.00591715976331364,0.017303105539664746,26.530612244898023,-0.3369844014104417,-0.01118568232662187,-0.0045045045045044585,-0.03282275711159732,-13.571458680211604,-0.910245273285014,820155000.0,624.774985579652,0.0,1.0373210689543317,1218
1219,2024-06-30,-0.008961518186610395,-0.005817028027498838,-0.006823684789786455,0.006508579750912528,45.833333333333414,-0.28488698182661654,-0.013123359580052507,-0.0026525198938992522,-0.0026525198938992522,-21.677065458647984,-14.192640462715241,1042042000.0,0.6550180353563595,0.0,-10.442169260702846,1219
1220,2024-06-30,-0.006979695431472033,0.009840296822067884,5.32509718302876e-05,0.009598921646304945,57.692307692307736,-0.6000240333794273,0.0,0.02287581699346397,0.00967741935483879,-6.796258251556455,-8.47829055161114,268122000.0,2.6399028138700236,0.0,2.4089298847226197,1220
1225,2024-06-30,0.013916500994035852,0.0754388739522378,0.35776722722633925,0.022534146063257585,81.94444444444441,-0.35341110020151867,0.07030430220356765,0.10389610389610393,0.2142857142857142,-16.906254410363445,-6.748449358838777,947916000.0,1.2999364344680806,0.0,-10.085480747686404,1225
