,date,stock_id,type,value,origin_name
68,2016-06-30,1103,EquityAttributableToOwnersOfParent,-66391000.0,淨利（淨損）歸屬於母公司業主
69,2016-06-30,1103,NoncontrollingInterests,2975000.0,淨利（淨損）歸屬於非控制權益
70,2016-06-30,1103,OTHNOE,0.0,其他收益及費損淨額
71,2016-09-30,1103,IncomeBeforeIncomeTax,163648000.0,稅前淨利(淨損)
72,2016-09-30,1103,NetIncome,148684000.0,本期淨利(淨損)
73,2016-09-30,1103,OperatingExpenses,80083000.0,營業費用
74,2016-09-30,1103,EPS,0.21,基本每股盈餘（元）
75,2016-09-30,1103,PreTaxIncome,163648000.0,稅前淨利（淨損）
76,2016-09-30,1103,IncomeFromContinuingOperations,148684000.0,繼續營業單位本期淨利（淨損）
77,2016-09-30,1103,IncomeAfterTaxes,148684000.0,本期淨利（淨損）
78,2016-09-30,1103,TotalConsolidatedProfitForThePeriod,2537098000.0,本期綜合損益總額
79,2016-09-30,1103,Revenue,743175000.0,營業收入
80,2016-09-30,1103,CostOfGoodsSold,706027000.0,營業成本
81,2016-09-30,1103,GrossProfit,37148000.0,營業毛利（毛損）淨額
82,2016-09-30,1103,OperatingIncome,-42935000.0,營業利益（損失）
83,2016-09-30,1103,TotalNonoperatingIncomeAndExpense,206583000.0,營業外收入及支出
84,2016-09-30,1103,TAX,14964000.0,所得稅費用（利益）
85,2016-09-30,1103,OtherComprehensiveIncome,2388414000.0,其他綜合損益（淨額）
86,2016-09-30,1103,EquityAttributableToOwnersOfParent,135471000.0,淨利（淨損）歸屬於母公司業主
87,2016-09-30,1103,NoncontrollingInterests,13213000.0,淨利（淨損）歸屬於非控制權益
88,2016-09-30,1103,OTHNOE,0.0,其他收益及費損淨額
89,2016-12-31,1103,IncomeBeforeIncomeTax,150382000.0,稅前淨利(淨損)
90,2016-12-31,1103,NetIncome,113523000.0,本期淨利(淨損)
91,2016-12-31,1103,OperatingExpenses,296734000.0,營業費用
92,2016-12-31,1103,EPS,0.23,基本每股盈餘（元）
93,2016-12-31,1103,PreTaxIncome,150382000.0,稅前淨利（淨損）
94,2016-12-31,1103,IncomeFromContinuingOperations,113523000.0,繼續營業單位本期淨利（淨損）
95,2016-12-31,1103,IncomeAfterTaxes,113523000.0,本期淨利（淨損）
96,2016-12-31,1103,TotalConsolidatedProfitForThePeriod,-78537000.0,本期綜合損益總額
97,2016-12-31,1103,Revenue,1035541000.0,營業收入
98,2016-12-31,1103,CostOfGoodsSold,1001230000.0,營業成本
99,2016-12-31,1103,GrossProfit,34311000.0,營業毛利（毛損）淨額
100,2016-12-31,1103,OperatingIncome,-262423000.0,營業利益（損失）
101,2016-12-31,1103,TotalNonoperatingIncomeAndExpense,412805000.0,營業外收入及支出
102,2016-12-31,1103,TAX,36859000.0,所得稅費用（利益）
103,2016-12-31,1103,OtherComprehensiveIncome,-192060000.0,其他綜合損益（淨額）
104,2016-12-31,1103,EquityAttributableToOwnersOfParent,144429000.0,淨利（淨損）歸屬於母公司業主
105,2016-12-31,1103,NoncontrollingInterests,-30906000.0,淨利（淨損）歸屬於非控制權益
106,2016-12-31,1103,OTHNOE,0.0,其他收益及費損淨額
107,2017-03-31,1103,IncomeBeforeIncomeTax,-88529000.0,稅前淨利(淨損)
108,2017-03-31,1103,NetIncome,-107868000.0,本期淨利(淨損)
109,2017-03-31,1103,OperatingExpenses,108263000.0,營業費用
110,2017-03-31,1103,EPS,-0.17,基本每股盈餘（元）
111,2017-03-31,1103,PreTaxIncome,-88529000.0,稅前淨利（淨損）
112,2017-03-31,1103,IncomeFromContinuingOperations,-107868000.0,繼續營業單位本期淨利（淨損）
113,2017-03-31,1103,IncomeAfterTaxes,-107868000.0,本期淨利（淨損）
114,2017-03-31,1103,TotalConsolidatedProfitForThePeriod,920226000.0,本期綜合損益總額
115,2017-03-31,1103,Revenue,598477000.0,營業收入
116,2017-03-31,1103,CostOfGoodsSold,465922000.0,營業成本
117,2017-03-31,1103,GrossProfit,132555000.0,營業毛利（毛損）淨額
118,2017-03-31,1103,OperatingIncome,24292000.0,營業利益（損失）
119,2017-03-31,1103,TotalNonoperatingIncomeAndExpense,-112821000.0,營業外收入及支出
120,2017-03-31,1103,TAX,19339000.0,所得稅費用（利益）
121,2017-03-31,1103,OtherComprehensiveIncome,1028094000.0,其他綜合損益（淨額）
122,2017-03-31,1103,EquityAttributableToOwnersOfParent,-111320000.0,淨利（淨損）歸屬於母公司業主
123,2017-03-31,1103,NoncontrollingInterests,3452000.0,淨利（淨損）歸屬於非控制權益
124,2017-06-30,1103,IncomeBeforeIncomeTax,26300000.0,稅前淨利(淨損)
125,2017-06-30,1103,NetIncome,22562000.0,本期淨利(淨損)
126,2017-06-30,1103,OperatingExpenses,120886000.0,營業費用
127,2017-06-30,1103,EPS,0.01,基本每股盈餘（元）
128,2017-06-30,1103,PreTaxIncome,26300000.0,稅前淨利（淨損）
129,2017-06-30,1103,IncomeFromContinuingOperations,22562000.0,繼續營業單位本期淨利（淨損）
130,2017-06-30,1103,IncomeAfterTaxes,22562000.0,本期淨利（淨損）
131,2017-06-30,1103,TotalConsolidatedProfitForThePeriod,1993353000.0,本期綜合損益總額
132,2017-06-30,1103,Revenue,460407000.0,營業收入
133,2017-06-30,1103,CostOfGoodsSold,414839000.0,營業成本
134,2017-06-30,1103,GrossProfit,45568000.0,營業毛利（毛損）淨額
135,2017-06-30,1103,OperatingIncome,-75318000.0,營業利益（損失）
136,2017-06-30,1103,TotalNonoperatingIncomeAndExpense,101618000.0,營業外收入及支出
137,2017-06-30,1103,TAX,3738000.0,所得稅費用（利益）
138,2017-06-30,1103,OtherComprehensiveIncome,1970791000.0,其他綜合損益（淨額）
139,2017-06-30,1103,EquityAttributableToOwnersOfParent,10590000.0,淨利（淨損）歸屬於母公司業主
140,2017-06-30,1103,NoncontrollingInterests,11972000.0,淨利（淨損）歸屬於非控制權益
141,2017-09-30,1103,IncomeBeforeIncomeTax,74564000.0,稅前淨利(淨損)
142,2017-09-30,1103,NetIncome,73906000.0,本期淨利(淨損)
143,2017-09-30,1103,OperatingExpenses,103717000.0,營業費用
144,2017-09-30,1103,EPS,0.09,基本每股盈餘（元）
145,2017-09-30,1103,PreTaxIncome,74564000.0,稅前淨利（淨損）
146,2017-09-30,1103,IncomeFromContinuingOperations,73906000.0,繼續營業單位本期淨利（淨損）
147,2017-09-30,1103,IncomeAfterTaxes,73906000.0,本期淨利（淨損）
148,2017-09-30,1103,TotalConsolidatedProfitForThePeriod,197555000.0,本期綜合損益總額
149,2017-09-30,1103,Revenue,506346000.0,營業收入
150,2017-09-30,1103,CostOfGoodsSold,448385000.0,營業成本
151,2017-09-30,1103,GrossProfit,57961000.0,營業毛利（毛損）淨額
152,2017-09-30,1103,OperatingIncome,-45756000.0,營業利益（損失）
153,2017-09-30,1103,TotalNonoperatingIncomeAndExpense,120320000.0,營業外收入及支出
154,2017-09-30,1103,TAX,658000.0,所得稅費用（利益）
155,2017-09-30,1103,OtherComprehensiveIncome,123649000.0,其他綜合損益（淨額）
156,2017-09-30,1103,EquityAttributableToOwnersOfParent,57676000.0,淨利（淨損）歸屬於母公司業主
157,2017-09-30,1103,NoncontrollingInterests,16230000.0,淨利（淨損）歸屬於非控制權益
158,2017-12-31,1103,IncomeBeforeIncomeTax,1069210000.0,稅前淨利(淨損)
159,2017-12-31,1103,NetIncome,988709000.0,本期淨利(淨損)
160,2017-12-31,1103,OperatingExpenses,178939000.0,營業費用
161,2017-12-31,1103,EPS,1.46,基本每股盈餘（元）
162,2017-12-31,1103,PreTaxIncome,1069208000.0,稅前淨利（淨損）
163,2017-12-31,1103,IncomeFromContinuingOperations,988709000.0,繼續營業單位本期淨利（淨損）
164,2017-12-31,1103,IncomeAfterTaxes,988709000.0,本期淨利（淨損）
165,2017-12-31,1103,TotalConsolidatedProfitForThePeriod,591493000.0,本期綜合損益總額
166,2017-12-31,1103,Revenue,530377000.0,營業收入
167,2017-12-31,1103,CostOfGoodsSold,484140000.0,營業成本
168,2017-12-31,1103,GrossProfit,46237000.0,營業毛利（毛損）淨額
169,2017-12-31,1103,OperatingIncome,-132702000.0,營業利益（損失）
170,2017-12-31,1103,TotalNonoperatingIncomeAndExpense,1201910000.0,營業外收入及支出
171,2017-12-31,1103,TAX,80499000.0,所得稅費用（利益）
172,2017-12-31,1103,OtherComprehensiveIncome,-397216000.0,其他綜合損益（淨額）
